"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSAIP01","ASSDEM01","ASSDEM02","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGIND01","CNGREP01","CNGREP02","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_2_N","PR_2_Y","PR_32_N","PR_32_Y","PR_33_N","PR_33_Y","PR_34_N","PR_34_Y","PR_35_N","PR_35_Y","PR_36_N","PR_36_Y","PR_3_N","PR_3_Y","PR_4_N","PR_4_Y","PR_5_N","PR_5_Y","PR_6_N","PR_6_Y","SENDEM01","SENDEM02","SENREP01","SENREP02","USPDEM01","USPREP01","USSDEM01","USSREP01"
"38","1101","19","11","11","2","881","0","0","0","0","0","0","0","0","0","660","0","0","0","0","0","0","0","0","0","0","0","0","218","308","0","0","432","0","0","157","0","23","461","12","2","7","135","221","387","231","378","358","252","293","290","134","464","195","411","168","445","200","406","315","284","264","322","426","0","159","0","451","128","463","123"
"38","1102","19","11","11","2","904","0","0","0","0","0","0","0","0","0","621","0","0","0","0","0","0","0","0","0","0","0","0","204","267","0","0","347","0","0","196","0","14","373","9","1","10","180","204","368","218","355","325","227","256","284","134","405","157","404","201","363","181","390","282","279","251","299","357","0","173","0","358","160","365","165"
"38","1103","19","11","11","2","107","0","0","0","0","0","0","0","0","0","82","0","0","0","0","0","0","0","0","0","0","0","0","29","40","0","0","46","0","0","30","0","3","54","1","1","0","20","27","50","35","40","38","35","37","35","26","49","19","58","22","52","29","48","42","33","34","41","49","0","28","0","52","23","53","25"
"38","1104","19","15","11","2","1209","0","0","0","0","0","0","0","0","0","931","0","0","0","0","0","0","0","0","0","0","0","0","284","487","0","0","635","0","0","160","0","7","714","12","3","9","165","221","649","257","617","519","344","403","424","165","693","289","582","171","707","194","670","375","481","310","545","633","0","200","0","697","149","697","152"
"38","1105","19","15","11","2","1096","0","0","0","0","0","0","0","0","0","776","0","0","0","0","0","0","0","0","0","0","0","0","284","337","0","0","459","0","0","198","0","9","532","15","1","9","188","245","488","257","474","435","292","352","349","172","537","233","491","227","504","226","501","329","395","307","408","516","0","182","0","524","168","536","175"
"38","1106","19","15","11","2","982","0","0","0","0","0","0","0","0","0","638","0","0","0","0","0","0","0","0","0","0","0","0","267","245","0","0","352","0","0","179","0","12","410","8","3","7","178","196","401","186","415","335","262","261","306","134","439","189","397","182","408","191","403","272","314","244","336","403","0","168","0","400","150","409","150"
"38","1107","19","15","11","2","1067","0","0","0","0","0","0","0","0","0","721","0","0","0","0","0","0","0","0","0","0","0","0","292","281","0","0","408","0","0","218","0","7","461","3","3","7","225","230","445","228","435","385","283","294","354","158","496","150","523","241","430","190","479","331","330","343","307","420","0","229","0","445","197","449","210"
"38","1108","19","11","11","2","1280","0","0","0","0","0","0","0","0","0","930","0","0","0","0","0","0","0","0","0","0","0","0","372","371","0","0","602","0","0","239","0","10","631","24","1","13","226","260","593","293","562","466","387","428","405","157","679","285","578","250","604","242","608","379","483","359","477","597","0","212","0","593","216","618","217"
"38","1109","19","15","11","2","987","0","0","0","0","0","0","0","0","0","726","0","0","0","0","0","0","0","0","0","0","0","0","254","332","0","0","440","0","0","190","0","6","506","11","4","4","181","201","471","241","444","421","254","299","346","131","528","199","468","176","510","196","481","330","338","291","372","455","0","181","0","486","159","488","160"
"38","1111","19","15","11","2","839","0","0","0","0","0","0","0","0","0","562","0","0","0","0","0","0","0","0","0","0","0","0","219","232","0","0","332","0","0","140","0","4","373","8","1","4","153","158","371","185","340","281","241","220","274","101","407","158","350","173","353","150","373","204","310","211","305","344","0","156","0","350","142","368","142"
"38","1112","19","15","11","2","992","0","0","0","0","0","0","0","0","0","687","0","0","0","0","0","0","0","0","0","0","0","0","255","264","0","0","399","0","0","168","0","11","445","14","2","8","186","190","449","203","434","352","268","318","284","133","480","205","422","170","461","162","476","292","337","270","348","404","0","185","0","426","155","429","157"
"38","1113","19","15","11","2","1109","0","0","0","0","0","0","0","0","0","777","0","0","0","0","0","0","0","0","0","0","0","0","286","346","0","0","481","0","0","189","0","16","529","12","3","5","204","260","463","246","472","403","299","367","322","165","534","218","498","228","493","232","489","357","353","331","373","482","0","201","0","513","175","522","174"
"38","1114","19","15","11","2","842","0","0","0","0","0","0","0","0","0","536","0","0","0","0","0","0","0","0","0","0","0","0","228","203","0","0","280","0","0","178","0","7","327","6","1","7","175","178","323","181","320","296","199","208","270","115","366","122","380","184","314","163","337","234","257","245","235","315","0","162","0","318","156","317","164"
